,FB,FB,FB,FB,FB,TWTR,TWTR,TWTR,TWTR,TWTR
,open,high,low,close,volume,open,high,low,close,volume
time,,,,,,,,,,
2020-12-24 00:00:00-05:00,268.875,270.4,266.2,267.32,6222157,54.52,55.19,53.8572,54.03,3330729.0
2020-12-28 00:00:00-05:00,268.74,277.27,265.66,277.0,21557606,55.0,55.18,53.93,54.43,5877528.0
2020-12-29 00:00:00-05:00,276.95,280.51,276.28,276.78,15723232,54.51,55.4,53.55,54.37,6199761.0
2020-12-30 00:00:00-05:00,277.95,278.08,271.71,271.88,10365805,54.69,54.91,54.14,54.33,4230056.0
2020-12-31 00:00:00-05:00,272.0,277.09,269.81,273.2,11199425,54.24,54.31,53.74,54.14,4122253.0
2021-01-04 00:00:00-05:00,274.78,275.0,265.2,268.94,12460207,54.49,55.49,53.58,54.55,10109317.0
2021-01-05 00:00:00-05:00,268.29,272.4,268.2111,270.97,8053296,53.41,54.5,53.15,53.88,6986649.0
2021-01-06 00:00:00-05:00,262.0,267.75,260.01,263.24,21446415,53.27,54.5165,52.57,53.25,7931768.0
2021-01-07 00:00:00-05:00,265.9,271.61,264.78,268.63,13968342,52.22,53.3799,51.46,52.32,17263100.0
2021-01-08 00:00:00-05:00,268.31,268.95,263.18,267.54,16730340,52.5,52.7,50.19,51.48,15148661.0
2021-01-11 00:00:00-05:00,260.48,263.47,255.9,256.81,27236030,47.09,49.49,45.15,48.16,58168216.0
2021-01-12 00:00:00-05:00,256.63,259.72,250.3,250.91,24074761,48.55,49.13,46.56,47.03,49943374.0
2021-01-13 00:00:00-05:00,251.55,253.95,249.2,251.64,16896303,48.09,48.39,47.0217,47.21,36153208.0
2021-01-14 00:00:00-05:00,253.4,255.03,244.61,245.71,27927382,47.66,47.66,45.43,45.79,26466090.0
2021-01-15 00:00:00-05:00,247.9,253.86,247.16,251.36,22675147,46.1,46.2,45.08,45.18,23581216.0
